POSITION,TEAM,GAMES PLAYED,WIN,DRAW,LOSS,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,POINTS,YEAR,HOST,CHAMPION,RUNNER UP,THIRD PLACE,TEAMS,MATCHES PLAYED,GOALS SCORED,AVG GOALS PER GAME
20,Egypt,3,0,2,1,1,2,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
21,Sweden,3,0,0,3,3,6,−3,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
22,South Korea,3,0,0,3,1,6,−5,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
23,United States,3,0,0,3,2,8,−6,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
24,United Arab Emirates,3,0,0,3,2,11,−9,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
1,Brazil,7,5,2,0,11,3,8,17,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,Italy,7,4,2,1,8,5,3,14,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Sweden,7,3,3,1,15,8,7,12,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,Bulgaria,7,3,1,3,10,11,−1,10,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Germany,5,3,1,1,9,7,2,10,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,Romania,5,3,1,1,10,9,1,10,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,Netherlands,5,3,0,2,8,6,2,9,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,Spain,5,2,2,1,10,6,4,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Nigeria,4,2,0,2,7,4,3,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Argentina,4,2,0,2,8,6,2,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Belgium,4,2,0,2,4,4,0,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Saudi Arabia,4,2,0,2,5,6,−1,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Mexico,4,1,2,1,4,4,0,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,United States,4,1,1,2,3,4,−1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Switzerland,4,1,1,2,5,7,−2,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,Republic of Ireland,4,1,1,2,2,4,−2,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
17,Norway,3,1,1,1,1,1,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
18,Russia,3,1,0,2,7,6,1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
19,Colombia,3,1,0,2,4,5,−1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
20,South Korea,3,0,2,1,4,5,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
